Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Resilient Web Design,1,50.9184,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,2,50.768640000000005,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,3,54.063359999999996,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,4,19.01952,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,5,32.9472,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,6,51.51743999999999,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,7,51.06816,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,8,49.4208,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,9,51.96672,1091990.1621595654,11.279206035923142
Stale While Revalidate,Resilient Web Design,10,52.11648,1091990.1621595654,11.279206035923142
