app, iteration, load_time, requests, response_size(B), network transfer
footpeek, 1, 498, 20, 1058770, 406912
footpeak, 2, 450, 9, 579295, 6756
footpeak, 3, 523, 9, 579295, 6756
footpeak, 4, 434, 9, 579295, 6756
footpeak, 5, 455, 9, 579295, 6756
footpeak, 7, 425, 9, 579295, 6669
footpeak, 8, 627, 16, 1038828, 396863
footpeak, 9, 388, 9, 579295, 6756
footpeak, 10, 415, 9, 579295, 6755
vanilla, 1, 4010, 36, 16362676, 8177790 
vanilla, 2, 3800, 20, 822847, 8224601
vanilla, 3, 3702, 36, 16362676, 8177726
vanilla, 4, 4662, 36, 16362676, 8177736
vanilla, 5, 3454, 36, 16362676, 8177712
vanilla, 6, 1988, 36, 16362676, 8177798
vanilla, 7, 1918, 36, 16435884, 8218571
vanilla, 8, 3040, 36, 16435884, 8218760
vanilla, 9, 2412, 36, 16435884, 8218734
vanilla, 10, 2224, 36, 16362676, 8177710
wavepad, 1, 567, 14, 110212, 42696
wavepad, 2, 323, 14, 110212, 42697
wavepad, 3, 417, 14, 110212, 42698
wavepad, 4, 265, 14, 110212, 42694
wavepad, 5, 303, 14, 110212, 42693
wavepad, 6, 332, 14, 110212, 42697
wavepad, 7, 327, 10, 63124, 18805
wavepad, 8, 324, 10, 63124, 18802
wavepad, 9, 277, 10, 63124, 18827
wavepad, 10, 320, 10, 63124, 18802
resilient, 1, 1263, 20, 341780, 141186
resilient, 2, 387, 16, 283416, 118982
resilient, 3, 267, 16, 283416, 118977
resilient, 4, 326, 16, 283416, 118962
resilient, 5, 320, 16, 283416, 118950
resilient, 6, 372, 16, 283416, 118961
resilient, 7, 395, 16, 283416, 118960
resilient, 8, 346, 16, 283416, 118963
resilient, 9, 370, 16, 283416, 118963
resilient, 10, 314, 16, 283416, 118955
beer, 1, 713, 34, 859649, 394134
beer, 2, 1230, 34, 837137, 394119
beer, 3, 446, 34, 859649, 394105
beer, 4, 437, 34, 884667, 394124
beer, 5, 530, 34, 859659, 394102
beer, 6, 459, 34, 847015, 394100
beer, 7, 556, 34, 859649, 394123
beer, 8, 1392, 34, 837137, 394149
beer, 9, 486, 34, 869527, 394108
beer, 10, 372, 34, 859650, 394124
currency, 1, 920, 37, 1198105, 217686
currency, 2, 739, 37, 1198105, 217666
currency, 3, 746, 37, 1198105, 217677
currency, 4, 755, 37, 1198105, 217695
currency, 5, 990, 37, 1198105, 217711
currency, 6, 973, 37, 1198105, 217688
currency, 7, 756, 37, 1198105, 217693
currency, 8, 783, 37, 1198105, 217615
currency, 9, 855, 37, 1198105, 217673
currency, 10, 1890, 37, 1198105, 211701
jetzt, 1, 2062, 52, 2388808, 808000
jetzt, 2, 2553, 53, 2392089, 847892
jetzt, 3, 1774, 52, 2388808, 846890
jetzt, 4, 1702, 52, 2388808, 846685
jetzt, 5, 1913, 52, 2388808, 846719
jetzt, 6, 2062, 52, 2388808, 808000
jetzt, 7, 1875, 53, 2392089, 847892
jetzt, 8, 1674, 52, 2388808, 846890
jetzt, 9, 2162, 52, 2388808, 846685
jetzt, 10, 1810, 52, 2388808, 846719
bird, 1, 1482, 67, 2155087, 1055712
bird, 2, 2213, 68, 2155088, 1055892
bird, 3, 2220, 68, 2155090, 1055821
bird, 4, 1362, 67, 2155089, 998322
bird, 5, 1500, 68, 2155090, 1055863
bird, 6, 2253, 67, 2155087, 1055712
bird, 7, 1083, 68, 2155088, 1055892
bird, 8, 3832, 68, 2155090, 1055821
bird, 9, 1702, 67, 2155089, 998322
bird, 10, 1702, 69, 2155090, 1055863
cuenta, 1, 642, 29, 840013, 140705
cuenta, 2, 1633, 29, 840013, 140701
cuenta, 3, 621, 29, 840013, 140665
cuenta, 4, 751, 29, 840013, 140701
cuenta, 5, 782, 29, 840013, 140707
cuenta, 6, 543, 29, 840013, 140705
cuenta, 7, 547, 29, 840013, 140701
cuenta, 8, 483, 29, 840013, 140665
cuenta, 9, 447, 29, 840013, 140701
cuenta, 10, 541, 29, 840013, 140707
